	text	label	label_text
0	"Erstes Capitel 
Gobelins 
Die kalten Strahlen einer halbverschleierten Wintersonne brachen sich auf den 
Eisflächen der Pegnitz."		
1	"Frisch gefallener Schnee lag auf den Dächern von Nürnberg, 
schmückte die zierlichen Giebelkanten mit glänzendweißem Besatz und wölbte über jedes 
Chörlein noch einen zweiten Baldachin, so weich und anschmiegend, als sei er aus 
sammetener Decke gewoben."		
2	"Aus den Essen wirbelte grauer Rauch empor, am dichtesten 
aus den hohen Schornsteinen der Gießhütten."		
3	"In dem mit Marmor und Eisengittern von durchbrochener Gießarbeit verziertem Kamin in 
Elisabeth Scheurl's Wohnzimmer brannten große Eichenknorren, um den weiten Raum mit 
behaglicher Wärme zu erfüllen."		
4	Die Thür des Nebenzimmers stand offen und auch darin loderte ein prasselndes Feuer.		
5	Dies Gemach erschien zu einem Arbeitszimmer umgeschaffen.		
6	"An der Wand befand 
sich eine große Holztafel, auf deren himmelblauem Grund eine Auferstehung Christi 
gemalt war."		
7	"Der Engel des Herrn saß im leuchtenden Gewand im Grabe, die Jünger und 
Frauen standen bestürzt davor, zur rechten Seite zeigte sich der Auferstandene, die 
ganze Gestalt vom goldenen Heiligenschein umflossen."		
8	"Die Farben waren sehr bunt und 
lebhaft, die Gestalten lang gezogen und eckig, aber einzelne Gesichter von 
sprechendem Ausdruck."		
9	"In der im Vordergrund stehenden Maria Magdalena erkannte man 
ohne Mühe Elisabeth's Conterfei."		
10	"Daneben lehnten noch kleinere Holztafeln mit 
schwebenden oder betenden Engeln, umgeben von Palmen oder Sternen, aus denen meist 
Ecken in verschiedenen Zusammensetzungen gebildet waren."		
11	"An den beiden hohen Bogenfenstern, von denen die schweren Damastvorhänge 
zurückgeschoben waren, um ungehindert alles Licht einzulassen, das die kurzen 
Wintertage spendeten, standen zwei ungeheure Stickrahmen, noch nicht groß genug, um 
den Stoff zu fassen, der darin verarbeitet werden sollte, und darum noch an den 
Seiten aufgerollt war."		
12	"Hier sah man ein mühevolles Werk weiblicher kunstgeübter Hände 
begonnen."		
13	"Das große aufgestellte Gemälde von der Hand des Malers Hans Beuerlein 
diente als Muster, und sollte sich hier in damals üblichem Gobelinsstich noch einmal 
wiederholen."		
14	"Ganze Körbe, von Wolle und Seide in strahlenden Farben, und mit Gold und 
Silberfaden angefüllt, standen bereit, das reichste Material zur Verarbeitung zu 
bieten."		
15	"Etwa seit Jahresfrist war Elisabeth auf den Gedan ken gekommen, die Töchter der edlen 
Geschlechter Nürnbergs aufzufordern, mit ihr vereint einen Teppich vor das Hochaltar 
der Kirche von St. Lorenz zu sticken, an deren Verschönerung gerade jetzt so 
begeistert gearbeitet ward."		
