	text	label	label_text
0	Erster Theil		
1	"Erstes Buch 
Erstes Kapitel."		
2	Der Haidekretscham.		
3	"Ein ansehnlicher Theil der beiden Lausitzen, namentlich die früher unter 
sächsischer Botmäßigkeit stehende Niederlausitz, ist mit unermeßlichen 
Kieferwaldungen bedeckt, welche unter dem Namen der großen Haide bekannt sind."		
4	"Diese ungeheuren Wälder, auf deren feinem Sandboden nur Haidekraut und dürre 
Gräser Nahrung finden, erstrecken sich bis in die Nähe der Stadt Görlitz und 
bergen in ihrem schattigen Dunkel mehrere Städte und eine Menge Dörfer, so wie 
einzeln gelegene Häuser und Vorwerke."		
5	"Hie und da unterbricht ein niedriger 
Höhenzug das einförmige Dickicht, von dem herab man die schwarze Waldung 
meilenweit übersehen kann."		
6	"Am Fuße solcher meist kahlen Hügel haben sich an 
Waldbächen, deren Gewässer grünen Wiesenbänder um die gelben Sandflächen 
winden, genügsame Menschen angesiedelt, um von Kohlenbrennerei, von Fischfang, 
dürftigem Ackerbau, Handarbeit und Bienenzucht kümmerlich zu leben."		
7	"Ergiebiger 
wird der Boden der Haide an den Grenzen der Oberlausitz."		
8	"Hier durchschneiden 
fruchtbare Thäler die rauschende Waldung, ansehnliche tiefe und bereits 
schiffbare Flüsse bewässern das umliegende Land und sichern den Anwohnern eine 
heiterere Existenz als ihren in den dürren Haideflächen versteckten Brüdern."		
9	"Weiterhin gegen die Mark zu verliert sich das fruchtbare Erdreich wieder und 
die ganze Haide verwandelt sich in einen ungeheuren waldigen Moorbruch, den 
zahllose Flüßchen, Bäche, Kanäle und Teiche durchschneiden, und in welchem noch 
ein eigenthümliches Völkchen mit alterthümlichen Sitten still und zurückgezogen 
haust."		
10	Es sind die Bewohner des Spreewaldes.		
11	"Durch die ermüdende Oede jener sandigen Haide schleppte sich in den letzten 
Tagen des Septembers 1832 ein ärmliches Fuhrwerk, dessen gebrechlicher Bauart 
man es ansah, daß es polnischen Juden angehören müsse."		
12	"Die Räder waren 
theilweise ohne Schienen, eine zerlöcherte und mit hundert Flicken besetzte 
Plane von schmutzig grauer Leinwand war über halb zerknickte Reifen 
ausgespannt, um die darunter Sitzenden gegen Wind und Wetter zu schützen."		
13	"In 
liederlichem Geschirr, an Strängen mit zahllosen Knoten und Troddeln, gingen 
drei muntere polnische Pferde, von denen zwei an die Deichsel, das dritte nach 
polnischer Sitte mittelst einer Kette an die Achse des Hinterrades gespannt 
war."		
14	"Dies letztere Thier, jung und feurig, versuchte selbst in dem fußtiefen 
Sande häufig zu galoppiren, was ihm bei dem langsamern Schritt der beiden 
andern Pferde nicht recht gelingen wollte."		
15	"Vorn in der sogenannten Kelle saß ein untersetzter Kerl im langen schmutzigen 
Rock der gemeinen polnischen Trödeljuden."		
16	"Ein struppiger Bart von unsicherer 
Farbe bedeckte sein ganzes blaurothes Gesicht, ein vielfach eingebogener 
Filzhut, hie und da zerbrochen, seinen Kopf."		
17	"In Ermangelung eines Stützbretes 
für die Füße ließ er die in starken juchtenen Stiefeln steckenden Beine zu 
beiden Seiten der Deichsel herabbaumeln, so daß sie, wenn die Räder im Sande 
tief einsanken, oft den Boden streiften. 
Im Innern dieses Fuhrwerks saßen ein Greis und ein Jüngling von etwa 
siebzehn Jahren, und auf der an der Seite des Wagens angebrachten eisernen 
Stiege stand ein jüdischer Knabe von etwa funfzehn Jahren und hielt sich mit 
beiden Händen an den Tragreifen der Plane fest, um nicht das Gleichgewicht zu 
verlieren."		
18	"Dies polnische Fuhrwerk hatte in schräger Richtung auf einem der vielen tiefen 
Sandwege die Haide aus der Gegend von Priebus her durchschnitten und erreichte 
jetzt eine hochgelegene Waldblöße, über die eine etwas besser gehaltene 
Landstraße führte."		
19	"Links am Fuße des Haidehügels in grünem, von vielen Gräben 
durchschnittenen Wiesengrunde lag ein Schenkhaus mit Stallung, Scheuer und 
Schuppen."		
20	"Hinter den Wiesen sah das graue Dach einer Torfgräberhütte unter den 
Bäumen hervor, und weiter hin beschrieb die Haide einen schmalen Bogen, durch 
welchen man die blauen Wasserspiegel mehrerer großer Teiche im Abendschein 
blinken sah."		
21	"Die Sonne war dem Untergang nahe und ließ hinter blaugrauen Wolkenschichten 
eine Menge jener breiten Strahlen auf die Erde fallen, welche der Landmann für 
Vorzeichen nahen Regens hält."		
22	"Die breite schwarze Haide jenseits der 
Teiche ward dabei stellenweise blendend hell erleuchtet, während der Horizont 
purpurn erglühte"		
23	sowohl		
24	"den interessanten Gebirgsknoten der weit bekannten 
Königshainer Berge, als auch die einsam gelegene hohe Doppelluppe der 
Landeskrone mit blitzendem Gold überströmte."		
25	"Nach dem Einerlei der Haide mußte dieser unerwartete Anblick einer fernen 
schönen Gebirgsgegend das Auge der Reisenden erquicken."		
26	"Auch war der polnische 
Fuhrmann wirklich so überrascht, daß er unwillkürlich die Pferde anhielt und 
einige Sekunden die heitere Aussicht dummdreist angaffte."		
27	"Mehr aber noch, als 
die farbigen Tinten der Abendbeleuchtung, schien dem Juden ein röthlicher 
Feuerschein in die Augen zu stechen, der aus dem unfern im Thale gelegenen 
Schenkhause vertraulich einladend heraufwinkte."		
28	"Fragend sah er sich um nach dem 
Greise und zeigte dabei mit der Peitsche nach dem rauchenden Schornsteine der 
Thalschenke."		
29	"Der Greis nickte bejahend und in leichtem Trabe flog das ärmliche 
Fuhrwerk den Sandweg hinab und lenkte in den offen stehenden Thorweg des 
Gehöftes."		
30	"Ein Knecht, unter dem Schuppen mit Holzspalten beschäftigt, ging den 
Fremden entgegen behandelte aber den hastig fragenden Juden sehr kurz und 
machte sich mehr mit den hübschen wohlgenährten Pferden zu thun."		
31	"Erst als der 
Greis mit seinem jugendlichen Begleiter abstieg und ihn in wendischer Sprache 
anredete, erheiterte sich sein Gesicht."		
32	"Er reichte beiden Fremden die Hand, 
sagte ihnen ebenfalls auf wendisch, daß sie ein vortreffliches Nachtquartier 
bekommen sollten, und geleitete sie bis an die Hausthür, ein paar Bündel und 
Packen dienstfertig ihnen nachtragend."		
33	"Der Greis war ein hoch gewachsener, von der Last der Jahre nur wenig gekrümmter 
Mann."		
34	Er trug sich ziemlich altmodisch und vollkommen bäurisch.		
35	"Kurze 
Beinkleider von schwarzem Leder bedeckten kaum das Knie, blauwollene Strümpfe 
schützten die Beine und grobe rindslederne Schuhe mit großen messingenen 
Schnallen umschlossen seine Füße."		
36	"Außerdem trug er einen dunkelblauen Tuchrock, 
der von oben bis unten mit sehr breiten übersponnenen Knöpfen besetzt war, über 
der Brust aber bloß durch zwei silberne Heftchen zusammengehalten wurde und 
eine bis an den Hals zugeknöpfte Weste von hellerem Tuch sehen ließ."		
37	"Ein 
niedriger runder Hut mit sehr breiter muldenartig aufwärts gebogener Krempe 
bedeckte sein schneeweißes starkes Haupthaar."		
38	"Als er diesen an der Schwelle des 
Hauses abnahm, mußte ein fingerbreiter Riemen von schwarzem Glanzleder, den der 
Alte um das Haar gelegt und vorn auf der Stirn mittelst einer Silberschnalle 
befestigt hatte, die einen auffliegenden Habicht darstellte, Jedermann 
auffallen."		
39	"Dieser Riemen hielt die reiche Haarfülle des Greises fest zusammen 
und gab dem stramm Einherschreitenden eine überraschende Aehnlichkeit mit 
irgend einem Helden des Alterthums, wie wir sie aus Abbildungen auf antiken 
Münzen kennen. 
Schon von dem Waldhügel herab hatte der Greis die am Wiesenrande liegende 
Schenke an ihrer ganzen Bauart, noch mehr an dem leuchtenden Heerd- oder 
Kaminfeuer für einen der vielen gastlichen Haidekretschame erkannt, die in den 
endlosen Wäldern zerstreut liegen."		
40	"Er schien darüber sehr erfreut zu sein und 
seine strengen, tief gefurchten Züge, die in einem Zeitraume von mehr als 
achtzig Jahren vielen Kummer und schweres Herzeleid erfahren haben 
mochten, heiterten sich etwas auf, als er in die Schenkstube trat."		
41	"Es kam ihm 
Alles darin so bekannt vor, daß er den Arm seines jungen Begleiters drückte und 
auf der Thürschwelle stehen bleibend mit leiser Stimme zu ihm sagte: »Sieh, 
Paul, das ist die Heimath Deiner Väter!«"		
42	"Der Wirth stutzte, als er diese obwohl in deutscher Sprache gemachte Bemerkung 
hörte und rückte mit größerer Eile, als er sonst zu thun pflegte, ein paar 
Schemel an den großen in der südlichen Stubenecke befindlichen Tisch."		
43	"Inzwischen sah der Jüngling sich neugierig im Zimmer um, wo der umfangreiche 
Kachelofen mit dem großen hellpolirten kupfernen Ofentopfe, und daneben der in 
die Wand eingemauerte Kamin, auf dem ein knisterndes Kienfeuer hochauf loderte 
und die dämmernde Stube mit grellem Lichtschein beleuchtete, besonders seine 
Aufmerksamkeit zu fesseln schienen."		
